ds,Y
3/1/2019,23177.61914
3/4/2019,23706.78906
3/5/2019,24412.34766
3/6/2019,24518.18164
3/7/2019,24624.01563
3/8/2019,23989.01172
3/11/2019,23742.06641
3/12/2019,25047.34961
3/13/2019,25117.90625
3/14/2019,25541.24219
3/15/2019,26246.80078
3/18/2019,26317.35742
3/19/2019,25823.46484
3/20/2019,25470.68555
3/21/2019,24553.45898
3/22/2019,24765.12695
3/25/2019,24341.79102
3/26/2019,24200.67969
3/27/2019,24624.01563
3/28/2019,25117.90625
3/29/2019,25259.01758
4/1/2019,25047.34961
4/2/2019,24553.45898
4/3/2019,25188.46289
4/4/2019,24906.23828
4/5/2019,24729.84961
4/8/2019,25047.34961
4/9/2019,25223.74023
4/10/2019,24835.68359
4/11/2019,24800.4043
4/12/2019,24518.18164
4/16/2019,25047.34961
4/17/2019,24553.45898
4/18/2019,24553.45898
4/19/2019,24588.73633
4/22/2019,24130.12305
4/23/2019,24130.12305
4/24/2019,24412.34766
4/25/2019,24341.79102
4/26/2019,24553.45898
5/2/2019,24341.79102
5/3/2019,24130.12305
5/6/2019,23354.00781
5/7/2019,23354.00781
5/8/2019,22824.83984
5/9/2019,21942.89063
5/10/2019,22577.89258
5/13/2019,23071.78516
5/14/2019,22860.11719
5/15/2019,23212.89648
5/16/2019,23001.22852
5/17/2019,22683.72656
5/20/2019,23071.78516
5/21/2019,23318.73047
5/22/2019,23424.56445
5/23/2019,23565.67578
5/24/2019,22930.67383
5/27/2019,23001.22852
5/28/2019,22789.56055
5/29/2019,22577.89258
5/30/2019,22436.78125
5/31/2019,22225.11328
6/3/2019,21590.11133
6/4/2019,22577.89258
6/5/2019,22154.55859
6/6/2019,22084.00195
6/7/2019,22366.22656
6/10/2019,22366.22656
6/11/2019,22507.33789
6/12/2019,22225.11328
6/13/2019,22225.11328
6/14/2019,22683.72656
6/17/2019,22648.44922
6/18/2019,22577.89258
6/19/2019,22577.89258
6/20/2019,23036.50781
6/21/2019,22930.67383
6/24/2019,23001.22852
6/25/2019,22648.44922
6/26/2019,22930.67383
6/27/2019,22577.89258
6/28/2019,22366.22656
7/1/2019,22824.83984
7/2/2019,22613.17188
7/3/2019,22648.44922
7/4/2019,23142.33984
7/5/2019,23142.33984
7/8/2019,22965.95117
7/9/2019,23001.22852
7/10/2019,22860.11719
7/11/2019,23600.95508
7/12/2019,23565.67578
7/15/2019,23495.12109
7/16/2019,24377.06836
7/17/2019,24377.06836
7/18/2019,24482.90234
7/19/2019,24624.01563
7/22/2019,25223.74023
7/23/2019,24870.96094
7/24/2019,24306.51367
7/25/2019,24835.68359
7/26/2019,25259.01758
7/29/2019,25259.01758
7/30/2019,24694.57031
7/31/2019,25047.34961
8/1/2019,25012.07227
8/2/2019,25259.01758
8/5/2019,25259.01758
8/6/2019,24835.68359
8/7/2019,24482.90234
8/8/2019,24482.90234
8/9/2019,24482.90234
8/12/2019,24941.51758
8/13/2019,24624.01563
8/14/2019,24765.12695
8/15/2019,24765.12695
8/16/2019,25400.13086
8/19/2019,25894.02148
8/20/2019,25964.57813
8/21/2019,26705.41406
8/22/2019,26529.02539
8/23/2019,26493.74609
8/26/2019,26705.41406
8/27/2019,26458.46875
8/28/2019,26529.02539
8/29/2019,26740.69336
8/30/2019,27340.41797
9/3/2019,27305.14063
9/4/2019,27234.58398
9/5/2019,27164.02734
9/6/2019,26811.24805
9/9/2019,26881.80469
9/10/2019,27022.91602
9/11/2019,26952.35938
9/12/2019,27269.86133
9/13/2019,28116.5332
9/16/2019,28222.36719
9/17/2019,28927.92578
9/18/2019,29033.75977
9/19/2019,28786.81445
9/20/2019,28222.36719
9/23/2019,27975.42188
9/24/2019,27834.30859
9/25/2019,28151.81055
9/26/2019,28328.20117
9/27/2019,28398.75586
9/30/2019,27799.03125
10/1/2019,28222.36719
10/2/2019,28363.47852
10/3/2019,29104.31641
10/4/2019,28575.14648
10/7/2019,28504.58984
10/8/2019,28998.48242
10/9/2019,29104.31641
10/10/2019,28927.92578
10/11/2019,28786.81445
10/14/2019,29033.75977
10/15/2019,29210.15039
10/16/2019,29033.75977
10/17/2019,28786.81445
10/18/2019,28292.92188
10/21/2019,27728.47461
10/22/2019,28222.36719
10/23/2019,28292.92188
10/24/2019,28434.03516
10/25/2019,28363.47852
10/28/2019,28645.70313
10/29/2019,28645.70313
10/30/2019,28363.47852
10/31/2019,28645.70313
11/1/2019,28927.92578
11/4/2019,29774.59766
11/5/2019,29986.26563
11/6/2019,29774.59766
11/7/2019,29351.26172
11/8/2019,29139.59375
11/11/2019,29139.59375
11/12/2019,29704.04102
11/13/2019,30268.48828
11/14/2019,29986.26563
11/15/2019,29633.48438
11/18/2019,29139.59375
11/19/2019,29386.53906
11/20/2019,29315.98438
11/21/2019,29069.03711
11/22/2019,28363.47852
11/25/2019,28010.69922
11/26/2019,28222.36719
11/27/2019,28786.81445
11/28/2019,28680.98047
11/29/2019,28575.14648
12/2/2019,27799.03125
12/3/2019,28010.69922
12/4/2019,28469.3125
12/5/2019,28222.36719
12/6/2019,27975.42188
12/9/2019,28222.36719
12/10/2019,28151.81055
12/11/2019,28292.92188
12/12/2019,28927.92578
12/13/2019,29562.92969
12/16/2019,29562.92969
12/17/2019,29245.42773
12/18/2019,29633.48438
12/19/2019,29774.59766
12/20/2019,30162.6543
12/23/2019,31573.77344
12/24/2019,31679.60742
12/25/2019,31891.27539
12/26/2019,31185.71484
12/27/2019,32596.83398
12/30/2019,32526.27734
12/31/2019,32561.55664
